"","caseid","ideol7b","presvote","retecon","white","female","age","educ1_7","income","partyid","bushiraq","exptrnout2"
"79",235,"Ext Cons.","Bush",0,1,0,59,3,15,5,1,"Standard"
"80",237,"Moderate","Bush",0,1,1,82,4,22,1,0,"Standard"
"81",238,"Moderate","Kerry",-1,0,1,61,2,1,0,0,"Standard"
"82",240,"Moderate","Bush",0,1,0,51,4,11,1,1,"Standard"
"83",241,"Moderate","Bush",-1,0,1,35,3,6,3,0,"Standard"
"84",242,"Slig. Liberal","Kerry",-1,1,1,54,3,17,0,0,"Standard"
"85",243,"Ext Cons.","Bush",0,1,0,58,6,12,4,0.6666667,"Standard"
"86",253,"Moderate","Kerry",-1,0,1,25,3,12,1,0,"Standard"
"87",255,"Moderate","Kerry",-1,1,0,56,3,4,3,0,"Standard"
"88",258,"Cons","Bush",0,1,1,77,2,6,6,1,"Standard"
"89",260,"Moderate","Kerry",0,1,0,51,6,23,2,0,"Standard"
"90",262,"Slig. Liberal","Kerry",-1,1,1,78,7,12,0,0,"Standard"
"91",263,"Cons","Bush",0.5,1,0,48,3,17,2,0.6666667,"Standard"
"92",266,"Slig. Cons","Bush",-0.5,1,0,51,3,19,6,0.33333334,"Standard"
"93",272,"Slig. Cons","Bush",0,1,0,30,5,13,5,0.6666667,"Standard"
"94",275,"Slig. Liberal","Bush",0,1,1,31,5,14,1,1,"Standard"
"95",282,"Slig. Cons","Bush",0,1,1,29,6,17,5,0.6666667,"Standard"
"96",284,"Cons","Bush",0,1,0,60,3,23,6,1,"Standard"
"97",285,"Cons","Bush",0,1,0,80,6,15,6,0.6666667,"Standard"
"98",293,"Moderate","Kerry",-0.5,1,1,26,3,8,1,0,"Standard"
"99",295,"Liberal","Kerry",-1,0,0,66,7,23,0,0,"Standard"
"100",300,"Slig. Liberal","Bush",-0.5,1,1,45,4,19,5,0,"Standard"
"101",301,"Moderate","Bush",0,1,0,54,2,5,6,1,"Standard"
"102",307,"Moderate","Bush",0.5,0,0,55,6,23,1,0.6666667,"Standard"
